Algorithm,alpha,l2_ratio,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE train,MSE train,IA train,R2 train,MAE val,MSE val,IA val,R2 val,MAE test,MSE test,IA test,R2 test
LR-EN(1),0.000100023,0.000516307,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121033587,0.024050402,0.984416816,0.940623559,0.13881689,0.168589109,0.908605247,-0.216131204,0.154279478,0.039762402,0.891793968,0.060032732
LR-EN(1),0.000100054,0.000260938,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121033588,0.024050402,0.984416816,0.940623559,0.138816891,0.168589108,0.908605246,-0.216131074,0.154279479,0.039762402,0.891793968,0.060032768
LR-EN(1),0.000100025,0.000354563,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121033586,0.024050402,0.984416816,0.940623559,0.138816888,0.168589108,0.908605248,-0.216131235,0.154279476,0.039762402,0.891793968,0.060032697
LR-EN(1),0.000100021,0.000234439,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121033585,0.024050402,0.984416817,0.940623559,0.138816887,0.168589108,0.90860525,-0.216131298,0.154279473,0.039762402,0.891793968,0.060032651
LR-EN(1),0.000100035,0.002073581,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121033595,0.024050402,0.984416814,0.940623559,0.138816905,0.168589117,0.908605232,-0.21613066,0.1542795,0.039762406,0.891793967,0.060033188
LR-EN(1),0.000100012,0.000207179,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121033584,0.024050402,0.984416817,0.940623559,0.138816886,0.168589108,0.908605251,-0.216131367,0.154279472,0.039762402,0.891793968,0.060032613
LR-EN(1),0.000100028,0.000796954,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121033588,0.024050402,0.984416816,0.940623559,0.138816893,0.168589111,0.908605244,-0.216131085,0.154279482,0.039762403,0.891793968,0.060032825
LR-EN(1),0.000100129,0.000322679,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121033594,0.024050402,0.984416815,0.940623559,0.138816899,0.16858911,0.908605237,-0.216130552,0.154279491,0.039762403,0.891793969,0.060033041
LR-EN(1),0.000100024,0.00023143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121033585,0.024050402,0.984416817,0.940623559,0.138816887,0.168589108,0.90860525,-0.216131282,0.154279474,0.039762402,0.891793968,0.060032659
LR-EN(1),0.000100008,0.000161411,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121033584,0.024050402,0.984416817,0.940623559,0.138816885,0.168589107,0.908605252,-0.216131404,0.154279471,0.039762402,0.891793968,0.060032589
LR-EN(1),0.000100051,0.001247753,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121033592,0.024050402,0.984416815,0.940623559,0.138816899,0.168589113,0.908605238,-0.216130803,0.154279492,0.039762404,0.891793968,0.06003302
LR-EN(1),0.000100021,0.000127334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121033585,0.024050402,0.984416817,0.940623559,0.138816886,0.168589107,0.908605251,-0.216131331,0.154279472,0.039762402,0.891793968,0.060032622
LR-EN(1),0.000100116,0.001453068,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121033598,0.024050402,0.984416814,0.940623559,0.138816908,0.168589115,0.908605229,-0.216130303,0.154279505,0.039762405,0.891793969,0.060033298
LR-EN(1),0.000100016,0.000118738,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121033584,0.024050402,0.984416817,0.940623559,0.138816885,0.168589107,0.908605252,-0.216131369,0.154279471,0.039762402,0.891793968,0.060032602
LR-EN(1),0.000100289,0.000764187,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121033609,0.024050402,0.984416812,0.940623559,0.13881692,0.168589114,0.908605216,-0.216129359,0.154279522,0.039762406,0.891793971,0.060033699
LR-EN(2),0.018164676,0.000261805,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.092212246,0.014247382,0.990930619,0.96505714,0.103977617,0.132525015,0.933405897,0.377818872,0.114631188,0.024136191,0.920396671,0.421869405
LR-EN(2),0.018197824,0.000115431,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.092214159,0.014247806,0.990930191,0.965056173,0.103977537,0.132524475,0.933407892,0.378033191,0.114630372,0.024134909,0.920402234,0.422000404
LR-EN(2),0.018304435,0.000120349,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.092219179,0.01424877,0.990929081,0.965053949,0.103977475,0.132521532,0.933412483,0.378554116,0.114628098,0.024131021,0.92041802,0.422342627
LR-EN(2),0.01830769,0.000120384,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.092219332,0.0142488,0.990929047,0.965053881,0.103977476,0.132521446,0.933412621,0.378569997,0.114628028,0.024130903,0.920418502,0.422353065
LR-EN(2),0.018373904,0.000269979,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.092221955,0.014249232,0.99092848,0.965052881,0.103977918,0.132519841,0.933414516,0.378822884,0.114627582,0.024129148,0.920425807,0.422511545
LR-EN(2),0.017970101,0.000123823,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.092203485,0.014245762,0.990932549,0.965060887,0.103977504,0.132530527,0.933398291,0.376917914,0.114635289,0.024143254,0.920368518,0.421268577
LR-EN(2),0.017962877,0.000116947,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.092203142,0.014245697,0.990932625,0.965061037,0.103977584,0.132530843,0.933397913,0.376881991,0.114635431,0.024143518,0.920367442,0.421245048
LR-EN(2),0.012447355,0.010413093,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.091962286,0.014202002,0.990985072,0.965161263,0.104031434,0.132734172,0.933127244,0.348187334,0.114794443,0.024364265,0.919530887,0.402917234
LR-EN(2),0.018023779,0.000174083,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.092205814,0.014246182,0.990932038,0.965059913,0.103977659,0.13252913,0.933400162,0.377154573,0.11463385,0.024141182,0.920376453,0.421431723
LR-EN(2),0.018295594,0.000124157,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.092218683,0.014248669,0.990929192,0.965054187,0.103977574,0.132521891,0.933411879,0.37850341,0.114628838,0.024131649,0.920415807,0.422300376
LR-EN(2),0.018324426,0.00016262,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.092219989,0.014248907,0.990928903,0.965053628,0.103977516,0.132520919,0.933413185,0.378635518,0.114627927,0.024130426,0.920420479,0.422395475
LR-EN(2),0.018413352,0.000211923,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.09222401,0.014249655,0.990928019,0.965051899,0.103977718,0.132518658,0.933416641,0.379046373,0.11462621,0.024127362,0.920432908,0.422663626
LR-EN(2),0.018019725,0.000119719,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.092205801,0.014246205,0.990932036,0.965059864,0.103977519,0.132529222,0.933400368,0.377161236,0.114634211,0.024141431,0.920375867,0.421428147
LR-EN(2),0.018422507,0.000105519,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.092224761,0.014249849,0.990927849,0.965051464,0.103977602,0.132518614,0.93341739,0.379128552,0.11462565,0.024126751,0.920435437,0.422720146
LR-EN(2),0.017978781,0.000217415,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.092203627,0.014245749,0.990932523,0.965060915,0.103977722,0.132530273,0.933398179,0.376920782,0.114635716,0.024143295,0.920368481,0.421267729
LR-EN(3),0.000101033,0.007102706,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056355284,0.006208419,0.996052675,0.984414083,0.060337882,0.081692926,0.961541758,0.75115782,0.063253928,0.008091167,0.962466246,0.799101099
LR-EN(3),0.00010111,0.006890262,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056355306,0.006208419,0.996052675,0.984414082,0.060337924,0.081692956,0.961541781,0.751157777,0.063253981,0.008091174,0.96246624,0.79910098
LR-EN(3),0.017281621,0.000200623,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.090317902,0.013650392,0.991349636,0.966582554,0.101637846,0.129900736,0.934619726,0.37623236,0.113387353,0.023970886,0.918872557,0.396763351
LR-EN(3),0.010264096,0.012508358,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.089936894,0.013571444,0.991423861,0.966761223,0.101714125,0.130100627,0.934306491,0.336648841,0.113601246,0.024279824,0.918012644,0.371686681
LR-EN(3),0.012278479,0.000349839,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.083678227,0.011818531,0.992500369,0.970908173,0.096938386,0.123473565,0.937859457,0.372586548,0.108814605,0.022261402,0.92407066,0.430978413
LR-EN(3),0.000102692,0.034504906,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.05635755,0.006208439,0.996052628,0.984414035,0.060342371,0.081696409,0.961543314,0.751147232,0.063260475,0.008092311,0.962465016,0.799079403
LR-EN(3),0.000154608,0.037940577,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056382038,0.006208724,0.996052097,0.9844134,0.060388623,0.081730769,0.961563641,0.751065353,0.063323349,0.008102262,0.962455004,0.798896732
LR-EN(3),0.000108557,0.015065213,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.069431615,0.009046307,0.994244905,0.977410999,0.074611133,0.098383138,0.948372369,0.599249607,0.07852656,0.012312989,0.946469969,0.676706169
LR-EN(3),0.000105093,0.066491701,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056360487,0.006208467,0.996052565,0.984413971,0.060348176,0.081700907,0.961545339,0.751133679,0.063268875,0.00809377,0.962463453,0.799051619
LR-EN(3),0.000100118,0.012057952,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056355145,0.006208418,0.996052678,0.984414086,0.060337659,0.081692792,0.961541561,0.751157604,0.063253696,0.008091151,0.962466242,0.799101237
LR-EN(3),0.012199165,0.000581457,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.083672057,0.011817649,0.992501245,0.970910167,0.096938461,0.123475711,0.937854135,0.372026337,0.108815432,0.022264375,0.924058496,0.430665396
LR-EN(3),0.00011604,0.073767163,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056366211,0.006208526,0.996052444,0.984413836,0.060359085,0.081709068,0.961550028,0.75111363,0.063283977,0.008096198,0.962460988,0.799006832
LR-EN(3),0.000108602,0.011626874,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056358918,0.006208453,0.9960526,0.984414007,0.060344785,0.081698048,0.961544872,0.751145958,0.063263377,0.00809267,0.962464769,0.799073557
LR-EN(3),0.000100623,0.004082434,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056354937,0.006208416,0.996052682,0.98441409,0.060337204,0.081692407,0.961541498,0.751159273,0.063252961,0.008091003,0.962466417,0.799104201
LR-EN(3),0.000100231,0.002564122,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056354682,0.006208414,0.996052688,0.984414095,0.060336714,0.081692038,0.961541294,0.751160244,0.063252268,0.008090888,0.962466534,0.799106341
LR-EN(4),0.000194102,0.705600682,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.056113272,0.006177758,0.996068182,0.984481345,0.060236942,0.081671356,0.961714609,0.752980072,0.06306801,0.008044143,0.962834585,0.801911592
LR-EN(4),0.000110669,0.437266735,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.055958905,0.006061977,0.99614076,0.984760449,0.060019159,0.080928052,0.962003846,0.754722702,0.06301917,0.00796014,0.963064194,0.801712359
LR-EN(4),0.000211976,0.032356002,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.05628674,0.006199252,0.996056526,0.984432309,0.060350174,0.081712275,0.961614991,0.752268074,0.063256294,0.008079324,0.962628547,0.800552592
LR-EN(4),0.000146479,0.199810052,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.056017345,0.006175901,0.99607054,0.984485839,0.060059584,0.081537977,0.961659978,0.753366635,0.062821728,0.008001294,0.962885607,0.802789364
LR-EN(4),0.000112182,0.010768417,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.055986946,0.006175545,0.99607113,0.984486646,0.060009905,0.081504109,0.961628144,0.753441225,0.062754126,0.007991395,0.962889718,0.803039538
LR-EN(4),0.000105657,0.037115341,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.055984615,0.006175527,0.996071182,0.984486685,0.060005406,0.0815008,0.961626683,0.75343912,0.06274651,0.00799002,0.962891693,0.803048986
LR-EN(4),0.000109011,0.00053696,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.05593416,0.006061656,0.996141382,0.984761234,0.059964634,0.080882372,0.961988292,0.754876177,0.062941571,0.007945136,0.963083143,0.802006568
LR-EN(4),0.000814742,0.028026453,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0.066406718,0.008055693,0.994898891,0.97994759,0.071917387,0.094618029,0.952213629,0.645452733,0.077146452,0.011650548,0.949492339,0.699988947
LR-EN(4),0.000262032,0.429152893,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.056376385,0.006201463,0.996053992,0.984427017,0.060519904,0.081844904,0.961661387,0.751744554,0.063489389,0.008122497,0.962562575,0.799519685
LR-EN(4),0.000100176,0.004363541,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.055930563,0.006061622,0.996141456,0.98476131,0.059957567,0.080877023,0.961984811,0.75488593,0.062932667,0.007943713,0.963084579,0.802032946
LR-EN(4),0.001832994,0.102379152,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.057448428,0.006253319,0.996015214,0.984314666,0.063030617,0.083771766,0.962045585,0.743451871,0.0674646,0.008750352,0.961358076,0.788888669
LR-EN(4),0.000119626,0.164353868,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.055997893,0.006175668,0.996070938,0.984486374,0.06002512,0.081512981,0.961643833,0.75340758,0.062773493,0.007993584,0.962892236,0.80293274
LR-EN(4),0.000100407,0.113239533,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0.066148734,0.008045772,0.99490892,0.97996952,0.071491983,0.094194898,0.951901298,0.644348124,0.076526625,0.011518707,0.949569888,0.701694964
LR-EN(4),0.000173426,0.10305104,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.056274419,0.006199045,0.99605681,0.984432754,0.060327478,0.081695676,0.961603577,0.752283152,0.063228727,0.008075327,0.962632281,0.800615079
